번호,지자체 유형,광역,기초,자치법규명,제개정일자,지방의회_기수,최종분야,,
1,기초지자체_군,강원특별자치도,정선군,정선군 지방공무원 복무 조례,2025-06-30,지방의회 9기,행정일반,,1
2,기초지자체_군,강원특별자치도,정선군,정선군 청소년 이ㆍ미용비 지원 조례,2025-06-30,지방의회 9기,복지,,
3,기초지자체_군,강원특별자치도,정선군,정선군 범죄예방 도시환경디자인 조례,2025-06-30,지방의회 9기,건설도시,,
4,기초지자체_군,강원특별자치도,정선군,정선군 자율방범대 지원 조례,2025-06-30,지방의회 9기,안전,,
5,기초지자체_군,강원특별자치도,정선군,정선군 장사시설 설치 및 운영 조례,2025-06-30,지방의회 9기,복지,,
6,기초지자체_군,강원특별자치도,정선군,정선군 투자유치 지원 조례,2025-06-30,지방의회 9기,경제산업,,
7,기초지자체_군,강원특별자치도,정선군,정선군의회 지방공무원 복무 조례,2025-06-30,지방의회 9기,의회,,
8,기초지자체_군,강원특별자치도,정선군,정선군 인구감소 대응에 관한 조례,2025-06-30,지방의회 9기,행정일반,,
9,기초지자체_군,강원특별자치도,정선군,정선군 스포츠클럽 및 생활체육지도자 지원 조례,2025-06-30,지방의회 9기,문화관광,,
10,기초지자체_군,강원특별자치도,정선군,정선군 지역인재 교육시설 설치 및 운영에 관한 조례,2025-06-30,지방의회 9기,교육,,
11,기초지자체_군,강원특별자치도,영월군,영월군 행정기구 설치 조례,2025-06-27,지방의회 9기,행정일반,,
12,기초지자체_군,강원특별자치도,영월군,영월군 지방공무원 정원 조례,2025-06-27,지방의회 9기,행정일반,,
13,기초지자체_군,강원특별자치도,영월군,영월군 물가대책위원회 설치 및 운영에 관한 조례,2025-06-27,지방의회 9기,경제산업,,
14,기초지자체_군,강원특별자치도,영월군,영월군 재난안전대책본부 운영 조례,2025-06-27,지방의회 9기,안전,,
15,기초지자체_군,강원특별자치도,영월군,영월군 시설관리공단 설립 및 운영에 관한 조례,2025-06-27,지방의회 9기,건설도시,,
16,기초지자체_군,강원특별자치도,영월군,영월군 소상공인 경영안정기금 설치 및 운용 조례,2025-06-27,지방의회 9기,경제산업,,
17,기초지자체_군,강원특별자치도,영월군,영월군 리ㆍ반 설치 및 운영 조례,2025-06-27,지방의회 9기,행정일반,,
18,기초지자체_군,강원특별자치도,평창군,평창올림픽플라자 관리ㆍ운영 조례,2025-06-27,지방의회 9기,문화관광,,
19,기초지자체_군,강원특별자치도,평창군,평창군 자율방범대 지원 조례,2025-06-27,지방의회 9기,안전,,
20,기초지자체_군,강원특별자치도,평창군,평창군 기부자 예우 및 기부심사위원회 운영에 관한 조례,2025-06-27,지방의회 9기,복지,,
21,기초지자체_군,강원특별자치도,평창군,평창군 환경 기본 조례,2025-06-27,지방의회 9기,환경,,
22,기초지자체_군,강원특별자치도,평창군,평창군 치유의 숲 운영 및 관리 조례,2025-06-27,지방의회 9기,농림수산,,
23,기초지자체_군,강원특별자치도,평창군,평창군 주차장 설치 및 관리 조례,2025-06-27,지방의회 9기,건설도시,,
24,기초지자체_군,강원특별자치도,평창군,평창군 부모교육 지원에 관한 조례,2025-06-27,지방의회 9기,교육,,
25,기초지자체_군,강원특별자치도,평창군,평창군의회 표창 조례,2025-06-27,지방의회 9기,의회,,
26,기초지자체_군,강원특별자치도,평창군,평창군 골목형상점가 지정 및 지원에 관한 조례,2025-06-27,지방의회 9기,경제산업,,
27,기초지자체_군,강원특별자치도,평창군,평창군 명예환경감시원 구성 및 운영 조례,2025-06-27,지방의회 9기,환경,,
28,기초지자체_군,강원특별자치도,평창군,평창군 인구정책 기본 조례,2025-06-27,지방의회 9기,행정일반,,
29,기초지자체_군,강원특별자치도,평창군,평창군 청년단체 지원에 관한 조례,2025-06-27,지방의회 9기,복지,,
30,기초지자체_군,강원특별자치도,평창군,평창군 주민자치회 시범실시 및 설치 운영에 관한 조례,2025-06-27,지방의회 9기,행정일반,,
31,기초지자체_군,강원특별자치도,평창군,평창군 신중년 인생이모작 지원 조례,2025-06-27,지방의회 9기,경제산업,,
32,기초지자체_군,강원특별자치도,평창군,평창군 특별교통수단 등의 운영 및 이용에 관한 조례,2025-06-27,지방의회 9기,건설도시,,
33,기초지자체_군,강원특별자치도,평창군,평창유산재단 설립 및 운영에 관한 조례,2025-06-27,지방의회 9기,문화관광,,
34,기초지자체_군,강원특별자치도,양구군,양구군 횡단보도 야간보행자 안전을 위한 투광기 설치 조례,2025-06-27,지방의회 9기,건설도시,,
35,기초지자체_군,강원특별자치도,양구군,양구군 DMZ 평화의 길 거점센터(평화쉼터) 관리 및 운영 조례,2025-06-27,지방의회 9기,문화관광,,
36,기초지자체_시,강원특별자치도,춘천시,춘천시의회 공무원 복무 조례,2025-06-26,지방의회 9기,의회,,
37,기초지자체_시,강원특별자치도,춘천시,춘천시 안식공원 설치ㆍ조성 및 관리 조례,2025-06-26,지방의회 9기,복지,,
38,기초지자체_시,강원특별자치도,춘천시,춘천시 교통약자 이동편의 증진에 관한 조례,2025-06-26,지방의회 9기,복지,,
39,기초지자체_시,강원특별자치도,춘천시,춘천시 장기등ㆍ인체조직 기증 장려에 관한 조례,2025-06-26,지방의회 9기,보건의료,,
40,기초지자체_시,강원특별자치도,춘천시,춘천시 음식물류 폐기물 발생억제와 수집ㆍ운반 및 재활용에 관한 조례,2025-06-26,지방의회 9기,환경,,
41,기초지자체_시,강원특별자치도,춘천시,춘천시 공무원 복무 조례,2025-06-26,지방의회 9기,행정일반,,
42,기초지자체_시,강원특별자치도,춘천시,춘천시청 및 읍ㆍ면ㆍ동 청사 소재지에 관한 조례,2025-06-26,지방의회 9기,행정일반,,
43,기초지자체_시,강원특별자치도,춘천시,춘천시 자활기금 특별회계 설치 및 운용 조례,2025-06-26,지방의회 9기,복지,,
44,기초지자체_시,강원특별자치도,춘천시,춘천시 주차장 설치 및 관리 조례,2025-06-26,지방의회 9기,건설도시,,
45,기초지자체_시,강원특별자치도,춘천시,춘천시 폐기물처리시설 설치촉진 및 주변지역지원 등에 관한 조례,2025-06-26,지방의회 9기,환경,,
46,기초지자체_시,강원특별자치도,춘천시,춘천시 보건소 수가 조례,2025-06-26,지방의회 9기,보건의료,,
47,기초지자체_시,강원특별자치도,춘천시,춘천시 공공심야약국 운영 지원 조례,2025-06-26,지방의회 9기,보건의료,,
48,기초지자체_군,강원특별자치도,철원군,철원군 지방공무원 복무조례,2025-06-23,지방의회 9기,행정일반,,
49,기초지자체_시,강원특별자치도,속초시,속초시 체육시설 관리운영 조례,2025-06-20,지방의회 9기,문화관광,,
50,기초지자체_시,강원특별자치도,속초시,속초시 영농폐기물 수거 지원 등에 관한 조례,2025-06-20,지방의회 9기,환경,,
51,기초지자체_시,강원특별자치도,속초시,속초시 직장 내 괴롭힘 예방 및 금지에 관한 조례,2025-06-20,지방의회 9기,복지,,
52,기초지자체_시,강원특별자치도,속초시,속초시 공직자 청렴 조직문화 조성에 관한 조례,2025-06-20,지방의회 9기,행정일반,,
53,기초지자체_시,강원특별자치도,속초시,속초시 관광진흥에 관한 조례,2025-06-20,지방의회 9기,문화관광,,
54,기초지자체_시,강원특별자치도,속초시,속초시 보훈회관 설치 및 운영 조례,2025-06-20,지방의회 9기,복지,,
55,기초지자체_시,강원특별자치도,속초시,속초시 폐기물관리 조례,2025-06-20,지방의회 9기,환경,,
56,기초지자체_군,강원특별자치도,고성군,고성군 옥외광고발전기금 설치 및 운용조례,2025-06-20,지방의회 9기,건설도시,,
57,기초지자체_군,강원특별자치도,고성군,고성군 빈집 정비 지원 및 활용에 관한 조례,2025-06-20,지방의회 9기,건설도시,,
58,기초지자체_군,강원특별자치도,고성군,고성군 소상공인 지원 조례,2025-06-20,지방의회 9기,경제산업,,
59,기초지자체_군,강원특별자치도,고성군,고성군 골목형상점가 기준 및 지정에 관한 조례,2025-06-20,지방의회 9기,경제산업,,
60,기초지자체_군,강원특별자치도,양구군,양구군의회 의원의정활동비 등 지급에 관한 조례,2025-06-13,지방의회 9기,의회,,
61,기초지자체_군,강원특별자치도,양구군,양구인문학박물관 운영조례,2025-06-13,지방의회 9기,교육,,
62,기초지자체_군,강원특별자치도,양구군,양구군 가족돌봄 청소년 지원에 관한 조례,2025-06-13,지방의회 9기,복지,,
63,기초지자체_군,강원특별자치도,양구군,양구군 공동주택관리 지원조례,2025-06-13,지방의회 9기,건설도시,,
64,기초지자체_군,강원특별자치도,양구군,양구군 주민복지지원사업 및 기업유치지원사업 운영관리조례,2025-06-13,지방의회 9기,경제산업,,
65,기초지자체_군,강원특별자치도,양구군,양구군 폐기물관리에 관한 조례,2025-06-13,지방의회 9기,환경,,
66,기초지자체_군,강원특별자치도,양구군,양구군 1회용품 사용규제 위반사업장에 대한 과태료 부과 및 신고포상금 지급조례,2025-06-13,지방의회 9기,환경,,
67,기초지자체_군,강원특별자치도,양구군,청춘양구 농촌체험캠프 설치 및 운영 조례,2025-06-13,지방의회 9기,농림수산,,
68,기초지자체_군,강원특별자치도,양구군,양구군 어린이 통학로 교통안전을 위한 조례,2025-06-13,지방의회 9기,안전,,
69,기초지자체_군,강원특별자치도,양구군,양구군 자원의 절약과 재활용촉진에 관한 법률위반자에 대한 과태료 부과징수조례,2025-06-13,지방의회 9기,환경,,
70,기초지자체_군,강원특별자치도,양구군,양구군 대상포진 예방접종 지원에 관한 조례,2025-06-13,지방의회 9기,보건의료,,
71,기초지자체_군,강원특별자치도,양구군,양구군 예풍경마을 운영 관리 조례,2025-06-13,지방의회 9기,문화관광,,
72,기초지자체_군,강원특별자치도,양구군,양구군 만대리 농가레스토랑 운영 관리 조례,2025-06-13,지방의회 9기,농림수산,,
73,기초지자체_군,강원특별자치도,양구군,양구군 자율방재단 운영 등에 관한 조례,2025-06-13,지방의회 9기,안전,,
74,기초지자체_군,강원특별자치도,고성군,고성군 조사료 생산 및 지원에 관한 조례,2025-06-13,지방의회 9기,농림수산,,
75,기초지자체_군,강원특별자치도,고성군,고성군 보건소 수가 조례,2025-06-13,지방의회 9기,보건의료,,
76,기초지자체_시,강원특별자치도,강릉시,강릉시 어항 관리 조례,2025-06-11,지방의회 9기,농림수산,,
77,기초지자체_시,강원특별자치도,강릉시,강릉시 소아ㆍ청소년 당뇨병 환자 지원에 관한 조례,2025-06-11,지방의회 9기,보건의료,,
78,기초지자체_시,강원특별자치도,강릉시,강릉시 고문변호사 운영 등에 관한 조례,2025-06-11,지방의회 9기,행정일반,,
79,기초지자체_시,강원특별자치도,강릉시,강릉시 산불방지 및 지원에 관한 조례,2025-06-11,지방의회 9기,농림수산,,
80,기초지자체_시,강원특별자치도,강릉시,강릉시 독서문화 진흥 조례,2025-06-11,지방의회 9기,문화관광,,
81,기초지자체_시,강원특별자치도,강릉시,강릉시 임해자연휴양림 시설사용료 징수 조례,2025-06-11,지방의회 9기,농림수산,,
82,기초지자체_시,강원특별자치도,강릉시,강릉시 교통약자의 이동편의 증진에 관한 조례,2025-06-11,지방의회 9기,복지,,
83,기초지자체_시,강원특별자치도,강릉시,강릉시 동네체육시설 설치 및 관리 조례,2025-06-11,지방의회 9기,문화관광,,
84,기초지자체_시,강원특별자치도,강릉시,강릉시 부패방지 및 부조리신고 포상금 지급 조례,2025-06-11,지방의회 9기,행정일반,,
85,기초지자체_시,강원특별자치도,강릉시,강릉시 장애인복지시설 설치 및 운영 조례,2025-06-11,지방의회 9기,복지,,
86,기초지자체_시,강원특별자치도,강릉시,강릉시 문화소외계층 청소년 문화예술 활동 지원 조례,2025-06-11,지방의회 9기,복지,,
87,기초지자체_시,강원특별자치도,강릉시,강릉시 공유수면 점용료ㆍ사용료 징수 조례,2025-06-11,지방의회 9기,건설도시,,
88,기초지자체_시,강원특별자치도,강릉시,강릉시 공무원 등의 직무 관련 사건에 대한 소송비용 지원 조례,2025-06-11,지방의회 9기,행정일반,,
89,기초지자체_시,강원특별자치도,강릉시,강릉시 현수막의 친환경 소재 사용 촉진 및 재활용 활성화 조례,2025-06-11,지방의회 9기,환경,,
90,기초지자체_시,강원특별자치도,동해시,동해시 교통안전정책심의위원회 구성 및 운영에 관한 조례,2025-06-10,지방의회 9기,건설도시,,
91,기초지자체_시,강원특별자치도,동해시,동해시 청소년지도위원의 위촉에 관한 조례,2025-06-10,지방의회 9기,복지,,
92,기초지자체_시,강원특별자치도,동해시,동해시 식품진흥기금 설치 및 운용 조례,2025-06-10,지방의회 9기,보건의료,,
93,기초지자체_시,강원특별자치도,동해시,동해시 환경성질환 예방관리센터 운영 조례,2025-06-10,지방의회 9기,보건의료,,
94,기초지자체_시,강원특별자치도,동해시,동해시 규제개혁위원회 설치 및 운영 조례,2025-06-10,지방의회 9기,행정일반,,
95,기초지자체_시,강원특별자치도,동해시,동해시 법제사무 운영에 관한 조례,2025-06-10,지방의회 9기,행정일반,,
96,기초지자체_시,강원특별자치도,동해시,동해시 사무의 민간위탁 촉진 및 관리 조례,2025-06-10,지방의회 9기,행정일반,,
97,기초지자체_시,강원특별자치도,동해시,동해시 참전유공자 지원 조례,2025-06-10,지방의회 9기,복지,,
98,기초지자체_시,강원특별자치도,동해시,동해시 장애인 고용촉진 및 직업재활 지원에 관한 조례,2025-06-10,지방의회 9기,복지,,
99,기초지자체_시,강원특별자치도,동해시,동해시 노인복지 증진에 관한 조례,2025-06-10,지방의회 9기,복지,,
100,기초지자체_시,강원특별자치도,동해시,동해시 남북교류협력에 관한 조례,2025-06-10,지방의회 9기,행정일반,,
101,기초지자체_시,강원특별자치도,동해시,동해시 옥외광고발전기금 설치 및 운용 조례,2025-06-10,지방의회 9기,건설도시,,
102,기초지자체_시,강원특별자치도,동해시,동해시 건축 조례,2025-06-10,지방의회 9기,건설도시,,
103,기초지자체_시,강원특별자치도,동해시,동해시 건축물관리 조례,2025-06-10,지방의회 9기,건설도시,,
104,기초지자체_시,강원특별자치도,동해시,동해시립도서관 관리 ㆍ 운영 조례,2025-06-10,지방의회 9기,문화관광,,
